year,athlete_id,player,team,ppa_per_dropback,total_ppa_pass
2014,3125460,Dontreal Pruitt,Troy,0.089,6.992
2014,3125748,Cody Callaway,Bowling Green,0.149,4.617
2014,3125823,Reginald Bell,Eastern Michigan,0.159,29.535
2014,3126208,Jason Stewart,Memphis,0.477,2.384
2014,3126935,Terrance Ervin,Norfolk State,0.026,0.391
2014,3128254,Zander Diamont,Indiana,-0.108,-15.719
2014,3128843,Alex McGough,Florida International,0.072,17.442
2014,3129249,Cody Clements,UAB,0.297,79.05
2014,3131252,Ker-Sean Wilson,Savannah St,-0.127,-6.997
2014,3139477,Patrick Mahomes,Texas Tech,0.426,80.963
2014,3139487,Vincent Testaverde,Texas Tech,-0.341,-8.529
2014,3139591,Quinton Flowers,South Florida,-0.302,-6.04
2014,3140828,Zach Lujan,South Dakota State,0.316,9.484
2014,3140998,Tyrell Maxwell,Gardner-Webb,-0.519,-5.186
2014,3144815,Adri Kollock Jr,South Carolina State,-0.281,-3.373
2015,482594,Taysom Hill,BYU,0.223,8.03
2015,485026,Ammon Olsen,Southern Utah,-0.206,-8.018
2015,504866,Brandon Doughty,Western Kentucky,0.524,275.806
2015,505481,Landry Klann,Nicholls,-0.68,-2.721
2015,511260,J.W. Walsh,Oklahoma State,0.673,57.175
2015,511552,Derrius Vick,Ohio,0.188,50.113
2015,511607,Matt McIntosh,Southern Illinois,NA,0
2015,511688,Russell Bellomy,UTSA,-0.085,-0.934
2015,511713,Vernon Adams Jr.,Oregon,0.532,149.076
2015,511722,Nelson Fishback,Western Kentucky,1.007,8.057
2015,511741,Sean Goldrich,New Hampshire,-0.145,-3.335
2015,511889,Jeff Driskel,Louisiana Tech,0.382,174.923
2015,511969,Sam B. Richardson,Iowa State,0.136,29.187
2015,511987,Jerry Neuheisel,UCLA,-0.353,-6.357
2015,512030,Dak Prescott,Mississippi State,0.339,170.974
2015,512191,Jacoby Brissett,NC State,0.179,75.787
2015,512345,Brayle Brown,UL Monroe,-0.607,-7.89
2015,512347,Earnest Carrington,UL Monroe,0.001,0.144
2015,512366,Tim Byerly,Georgia Tech,1.1,1.1
2015,512469,Bram Kohlhausen,TCU,0.344,30.918
2015,512675,Joe Gray,San José State,0.35,38.51
2015,512705,Connor Cook,Michigan State,0.362,152.985
2015,512806,Chuckie Keeton,Utah State,-0.003,-0.535
